State,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson
Sacramento,499997,3378,39,99,1100,2140,14683,2888,9077,2718,209
Salinas,158313,1021,28,71,358,564,4795,964,2589,1242,24
San Bernardino,217259,2805,34,158,877,1736,8403,2136,3990,2277,67
San Bruno,43274,121,1,13,51,56,1117,126,904,87,4
San Clemente,65596,91,0,9,37,45,812,173,574,65,4
Sand City,392,10,0,0,5,5,132,10,119,3,0
San Diego,1424116,5221,35,559,1410,3217,26246,3817,17294,5135,158
San Dimas,34499,67,0,5,24,38,735,158,500,77,4
San Fernando,24899,120,3,9,34,74,360,85,184,91,1
San Francisco,881255,6301,56,367,3220,2658,54356,4935,44587,4834,303
San Gabriel,40531,114,1,3,40,70,666,199,407,60,3
Sanger,25126,110,2,12,15,81,489,173,240,76,2
San Jacinto,47932,114,3,2,55,54,1605,343,1005,257,1
San Jose,1037529,4188,32,571,1376,2209,25323,3926,13329,8068,173
San Juan Capistrano,36532,82,0,12,16,54,448,103,313,32,3
San Leandro,91386,524,2,21,292,209,3715,460,2369,886,20
San Luis Obispo,47934,178,0,44,23,111,1782,172,1516,94,12
San Marcos,97290,195,0,25,54,116,1136,202,784,150,4
San Marino,13402,14,0,0,6,8,255,127,126,2,0
San Mateo,105090,268,0,19,64,185,2125,706,1231,188,8
San Pablo,30781,178,2,7,103,66,1040,129,547,364,8
San Rafael,59144,194,0,21,89,84,1627,271,1091,265,19
San Ramon,76325,56,0,8,30,18,974,126,768,80,7
Santa Ana,335699,1640,21,188,605,826,7017,929,4108,1980,60
Santa Barbara,92508,377,0,67,80,230,2499,327,1968,204,23
Santa Clara,127538,214,2,35,82,95,3618,408,2810,400,7
Santa Clarita,216350,352,4,40,122,186,3081,674,1997,410,13
Santa Cruz,65132,409,1,57,103,248,3684,412,2911,361,30
Santa Fe Springs,18339,106,0,4,48,54,1048,183,688,177,6
Santa Maria,107424,476,3,58,155,260,2354,446,1231,677,11
Santa Monica,92935,705,3,54,241,407,4374,648,3462,264,25
Santa Paula,30496,103,2,7,18,76,434,84,308,42,2
Santa Rosa,176361,722,5,109,126,482,3245,525,2309,411,22
Santee,58563,155,0,11,43,101,866,109,665,92,1
Saratoga,30886,33,2,3,6,22,192,94,81,17,4
Sausalito,7155,14,0,0,3,11,231,37,187,7,0
Scotts Valley,11985,14,0,6,4,4,227,40,167,20,0
Seal Beach,24495,45,0,2,19,24,643,92,503,48,1
Seaside,34519,92,1,8,31,52,513,81,360,72,1
Sebastopol,7725,20,0,5,3,12,129,39,81,9,1
Selma,24817,292,3,12,17,260,873,300,411,162,7
Shafter,19284,43,0,7,11,25,473,117,242,114,11
Sierra Madre,11080,8,0,1,1,6,108,43,61,4,2
Signal Hill,11757,63,1,5,34,23,749,93,521,135,2
Simi Valley,126635,184,0,32,39,113,1824,331,1355,138,7
Solana Beach,13542,13,0,3,4,6,229,68,142,19,0
Soledad,25560,50,2,3,7,38,170,47,76,47,3
Solvang,5899,7,0,1,1,5,85,21,62,2,0
Sonoma,11120,31,0,5,7,19,186,36,146,4,1
Sonora,4811,33,0,9,7,17,324,56,239,29,7
South El Monte,21012,121,2,4,35,80,684,169,314,201,9
South Gate,95717,674,6,41,223,404,3131,507,1691,933,14
South Lake Tahoe,21768,58,0,12,8,38,482,129,280,73,1
South Pasadena,25961,18,1,2,9,6,504,130,315,59,2
South San Francisco,67533,234,1,31,72,130,1605,214,1184,207,8
Stallion Springs,2644,4,0,0,0,4,10,0,10,0,0
Stanton,38767,142,1,17,37,87,649,130,384,135,4
St. Helena,6210,11,0,5,1,5,93,33,52,8,2
Stockton3,309566,4379,55,154,1208,2962,11229,2140,7040,2049,208
Suisun City,29738,101,3,8,38,52,689,110,490,89,8
Sunnyvale,154919,182,1,29,56,96,2682,512,1872,298,19
Susanville,14414,209,0,9,11,189,314,102,197,15,7
Sutter Creek,2517,4,0,0,0,4,61,8,47,6,1
Taft,9393,83,0,5,7,71,405,77,287,41,0
Tehachapi,12210,49,1,4,8,36,223,57,130,36,4
Temecula,115220,117,1,5,38,73,2614,353,2011,250,2
Temple City,36500,54,2,3,20,29,552,258,257,37,0
Thousand Oaks,129240,172,2,44,35,91,1687,269,1305,113,12
Tiburon,9210,3,0,0,1,2,86,16,70,0,0
Torrance,147482,267,0,36,116,115,3206,557,2213,436,12
Tracy,90263,193,3,27,77,86,2179,201,1616,362,11
Truckee,16429,19,0,4,0,15,165,40,98,27,4
Tulare,63349,254,2,22,66,164,1703,284,1008,411,15
Tulelake,988,2,0,0,0,2,1,1,0,0,0
Turlock,73488,447,4,24,142,277,2296,382,1471,443,35
Tustin,81246,132,3,11,47,71,1949,288,1484,177,9
Twentynine Palms,26210,40,2,2,6,30,326,142,139,45,8
Ukiah,15859,121,0,14,20,87,335,59,234,42,13
Union City,76311,255,1,15,83,156,1686,216,1114,356,4
Upland,77154,232,7,25,101,99,2071,586,1194,291,6
Vacaville,99293,198,1,20,56,121,2108,186,1742,180,17
Vallejo,122174,1048,15,93,390,550,4597,2445,1181,971,60
Ventura,110006,460,2,63,111,284,3638,585,2717,336,17
